Name,Symbol,ISIN,WKN,Exchange
Amundi MSCI EM Asia UCITS ETF - EUR (C),AMEA,LU1681044480,A2H58R,XETR
Amundi MSCI EM Latin America UCITS ETF - EUR (C),AMEL,LU1681045024,A2H58P,XETR
Amundi MSCI Emerging ESG Leaders UCITS ETF DR (C),SADM,LU2109787551,A2PZDB,XETR
Amundi MSCI Emerging ESG Universal Select UCITS ETF DR (C),SBIM,LU2109787049,A2PZC5,XETR
Amundi MSCI Emerging Markets UCITS ETF - EUR (C),AMEM,LU1681045370,A2H58J,XETR
Amundi MSCI EMU ESG Leaders Select UCITS ETF DR - EUR (C),AMED,LU1602144575,A2DR4R,XETR
Amundi MSCI EMU ESG Universal Select UCITS ETF DR (A),SBIZ,LU2109786827,A2PZC7,XETR
Amundi MSCI Europe ESG Leaders Select UCITS ETF DR (A),SADE,LU2109787478,A2PZDA,XETR
Amundi MSCI Europe ESG Universal Select UCITS ETF DR (A),SBIE,LU2109786744,A2PZC6,XETR
Amundi MSCI Europe UCITS ETF - EUR (C),CEUG,LU1681042609,A2H567,XETR
Amundi MSCI India UCITS ETF - EUR (C),18MK,LU1681043086,A2H57G,XETR
Amundi MSCI Japan ESG Universal Select UCITS ETF DR (C),JUPI,LU2300294746,A2QQC6,XETR
Amundi MSCI Nordic UCITS ETF - EUR (C),CN1G,LU1681044647,A2H569,XETR
Amundi MSCI Switzerland UCITS ETF - EUR (C),540J,LU1681044720,A2H57A,XETR
Amundi MSCI USA ESG Leaders Select UCITS ETF DR - Hedged EUR (C),SADH,LU2153616326,A2P22T,XETR
Amundi MSCI USA ESG Leaders Select UCITS ETF DR (A),SADU,LU2109787395,A2PZC9,XETR
Amundi MSCI USA ESG Universal Select UCITS ETF DR (A),SBIU,LU2109786660,A2PZC4,XETR
Amundi MSCI USA UCITS ETF - EUR (C),ACU2,LU1681042864,A2H57D,XETR
Amundi MSCI World Climate Paris Aligned PAB UCITS ETF DR - USD (C),PABW,LU2182388400,A2P6TP,XETR
Amundi MSCI World Climate Transition CTB UCITS ETF DR - EUR (C),LWCR,LU1602144229,A2DR4H,XETR
Amundi MSCI World ESG Leaders Select UCITS ETF DR (A),SADW,LU2109787122,A2PZC8,XETR
Amundi MSCI World ESG Universal Select UCITS ETF DR (A),SBIW,LU2109786587,A2PZC3,XETR
Amundi MSCI World Ex Europe UCITS ETF - EUR (C),CE8G,LU1681045537,A2H57S,XETR
Amundi MSCI World UCITS ETF - EUR (C),AMEW,LU1681043599,A2H59Q,XETR
Amundi Nasdaq-100 UCITS ETF - Daily Hedged EUR (C),HNDX,LU1681038599,A2H579,XETR
Amundi Nasdaq-100 UCITS ETF - EUR (C),6AQQ,LU1681038243,A2H577,XETR
Amundi Prime Euro Corporates UCITS ETF DR - EUR (C),PRAC,LU2089238625,A2PWMN,XETR
Amundi Prime Euro Corporates UCITS ETF DR - EUR (D),PR1C,LU1931975079,A2PBLN,XETR
Amundi Prime Euro Gov Bonds 0-1Y UCITS ETF DR (C),PRAB,LU2233156582,A2QEUJ,XETR
Amundi Prime Euro Govies UCITS ETF DR - EUR (C),PRAR,LU2089238898,A2PWMP,XETR
Amundi Prime Euro Govies UCITS ETF DR - EUR (D),PR1R,LU1931975152,A2PBLP,XETR
Amundi Prime Europe UCITS ETF DR - EUR (C),PRAE,LU2089238039,A2PWMH,XETR
Amundi Prime Europe UCITS ETF DR - EUR (D),PR1E,LU1931974262,A2PBLF,XETR
Amundi Prime Eurozone UCITS ETF DR - EUR (C),PRAZ,LU2089238112,A2PWMJ,XETR
Amundi Prime Eurozone UCITS ETF DR - EUR (D),PR1Z,LU1931974429,A2PBLH,XETR
Amundi Prime Global Govies UCITS ETF DR - EUR (C),PRAG,LU2089238971,A2PWMQ,XETR
Amundi Prime Global Govies UCITS ETF DR - EUR (D),PR1G,LU1931975236,A2PBLQ,XETR
Amundi Prime Global UCITS ETF DR - USD (C),PRAW,LU2089238203,A2PWMK,XETR
Amundi Prime Global UCITS ETF DR - USD (D),PR1W,LU1931974692,A2PBLJ,XETR
Amundi Prime Japan UCITS ETF DR - JPY (C),PRAJ,LU2089238385,A2PWML,XETR
Amundi Prime Japan UCITS ETF DR - JPY (D),PR1J,LU1931974775,A2PBLK,XETR
Amundi Prime US Corporates UCITS ETF DR - USD (C),PRAP,LU2089239276,A2PWMS,XETR
Amundi Prime US Corporates UCITS ETF DR - USD (D),PR1P,LU2037749152,A2PP4C,XETR
Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR - Hedged EUR (C),PR1H,LU2182388749,A2P6TT,XETR
Amundi Prime US Treasury Bond 0-1 Y UCITS ETF DR - USD (C),PR1T,LU2182388665,A2P6TS,XETR
Amundi Prime US Treasury UCITS ETF DR - USD (C),PRAS,LU2089239193,A2PWMR,XETR
Amundi Prime US Treasury UCITS ETF DR - USD (D),PR1S,LU1931975319,A2PBLR,XETR
Amundi Prime USA UCITS ETF DR - USD (C),PRAU,LU2089238468,A2PWMM,XETR
Amundi Prime USA UCITS ETF DR - USD (D),PR1U,LU1931974858,A2PBLL,XETR
Amundi Russell 2000 UCITS ETF - EUR (C),RS2K,LU1681038672,A2H582,XETR
Amundi S&P 500 ESG UCITS ETF DR - EUR (C),F500,LU1437017863,A2ATY3,XETR
Amundi S&P 500 UCITS ETF - Daily Hedged EUR (C),H1D5,LU1681049109,A2H576,XETR
Amundi S&P 500 UCITS ETF - EUR (C),AUM5,LU1681048804,A2H573,XETR
Amundi STOXX Europe 600 UCITS ETF - EUR (C),AME6,LU1681040223,A2H57X,XETR
BNP Paribas Easy Bloomberg Barclays Euro Aggregate Treasury UCITS ETF,JBEM,LU1481202692,A2DH5P,XETR
BNP Paribas Easy ECPI Global ESG Blue Economy UCITS ETF - Acc,BJLE,LU2194447293,A2QCJJ,XETR
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF EUR C,GSDE,LU1291109616,A2AE6P,XETR
BNP Paribas Easy Energy & Metals Enhanced Roll UCITS ETF EUR Hedged,EMEH,LU1547516291,A2DU5K,XETR
BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF - Acc,ASRF,LU2244386053,A2QMK5,XETR
BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF - Dist,ASRG,LU2244386137,A2QMK3,XETR
BNP Paribas Easy Euro Corp Bond SRI Fossil Free 1-3Y UCITS ETF,ASR3,LU2008760592,A2PP8B,XETR
BNP Paribas Easy Euro Corp Bond SRI Fossil Free 3-5Y UCITS ETF,ASR5,LU2008761053,A2PP8C,XETR
BNP Paribas Easy Euro Corp Bond SRI Fossil Free UCITS ETF,ASRI,LU1859444769,A2N8AD,XETR
BNP Paribas Easy EURO STOXX 50 UCITS ETF - C,ETDD,FR0012739431,A14UTE,XETR
BNP Paribas Easy EURO STOXX 50 UCITS ETF - C/D,ETBB,FR0012740983,A14UTF,XETR
BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF - Acc,ASRC,LU1547515053,A2QMK1,XETR
